Solvable
Min number of moves: 17
Sequence of moves: Down,Right,Down,Left,Down,Left,Up,Left,Up,Right,Up,Left,Up,Left,Down,Left,Down
Initial
., ., ., ., o, ., o, ., ., ., ., ., #, ., ., ., ., ., ., ., o, ., ., o, #, o, ., ., ., ., ., #, ., ., ., ., ., ., ., ., ., #, ., ., o, ., ., .
., o, o, ., ., #, #, ., o, ., #, ., o, ., #, ., ., ., ., ., ., ., ., o, ., o, o, #, ., ., ., o, ., o, o, ., o, ., ., ., ., ., #, ., ., ., o, .
., ., ., ., ., ., ., #, ., o, #, o, ., ., ., ., o, ., o, ., #, o, ., o, ., #, ., ., ., ., ., #, #, o, o, ., o, o, #, ., o, ., ., o, ., o, ., .
#, ., #, o, ., o, ., ., #, ., ., ., ., o, ., o, o, ., #, ., o, ., ., ., #, #, ., o, #, ., ., #, ., ., #, ., o, ., ., ., ., ., ., ., o, ., ., .
#, ., ., ., ., o, o, ., #, ., ., ., ., o, o, #, o, ., ., o, ., o, #, o, ., ., o, o, ., ., ., ., o, #, #, ., o, o, ., ., o, ., ., o, #, #, #, .
., ., o, ., ., o, ., o, o, ., ., ., o, ., ., ., ., #, #, o, ., #, ., ., ., ., #, ., ., #, o, o, ., ., ., #, ., ., ., ., ., ., ., o, ., ., o, .
o, ., ., o, o, ., ., ., o, ., ., ., ., #, ., #, ., #, ., o, ., ., ., o, o, ., o, ., ., #, ., ., o, ., o, o, o, ., ., ., ., ., ., o, #, ., #, .
#, ., ., ., #, o, o, ., ., ., o, ., o, ., ., o, ., ., o, ., ., ., #, o, o, #, ., ., o, o, o, o, ., ., ., ., ., o, ., #, o, ., ., ., ., ., ., .
o, o, ., ., ., ., ., o, o, #, ., ., ., ., ., ., ., o, ., ., ., ., o, ., o, ., #, #, ., ., o, ., ., ., #, ., ., ., ., ., ., ., ., ., o, ., ., .
., o, #, #, o, ., ., ., o, ., ., #, #, ., o, ., o, #, ., ., ., o, #, #, ., ., ., ., ., ., o, ., ., o, o, ., o, o, ., o, ., o, ., #, ., ., o, .
., ., ., ., ., o, ., ., #, ., ., ., ., o, #, #, ., ., ., #, ., ., ., #, #, ., #, ., ., ., ., o, ., o, ., o, ., ., ., ., o, ., ., ., ., ., ., .
., o, ., ., o, o, ., ., ., ., ., #, o, #, ., ., #, ., o, ., ., ., o, ., ., #, ., o, ., ., o, ., ., ., o, #, o, ., o, ., ., ., ., ., #, #, o, .
., ., o, ., o, ., ., ., ., o, o, #, o, o, o, o, o, ., ., ., ., ., o, o, o, ., ., o, #, ., ., ., ., #, ., ., #, ., o, ., ., ., ., o, ., ., o, .
., o, ., ., ., ., #, ., o, ., ., ., ., ., #, ., ., ., ., ., ., ., #, ., o, ., ., #, o, ., o, ., ., ., ., ., ., ., ., ., o, ., ., o, ., ., ., .
o, o, #, #, ., ., ., ., ., ., ., ., ., o, o, ., ., ., #, ., o, o, ., ., o, #, ., o, #, ., o, ., o, o, o, ., ., ., ., ., ., ., ., ., ., ., ., .
., ., o, ., #, ., ., #, #, ., o, #, ., ., ., #, ., ., ., ., ., o, ., ., ., ., ., #, ., #, ., ., ., ., o, ., ., ., ., o, ., ., ., ., o, o, #, .
., #, #, ., #, ., #, ., ., ., ., #, ., ., o, o, ., ., o, ., ., ., #, ., ., ., ., ., ., ., #, o, o, ., o, ., ., ., o, ., o, o, ., ., #, ., ., .
., ., o, ., ., o, ., ., ., ., o, ., ., ., ., ., ., ., o, ., ., ., ., ., ., ., ., ., ., o, ., ., ., ., #, ., #, o, o, ., ., ., o, ., ., ., ., .
o, ., ., ., #, o, ., o, #, ., ., #, ., ., ., ., ., o, o, #, ., ., o, ., o, ., ., ., #, ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., ., .
#, ., o, ., ., ., o, ., ., ., ., ., ., ., #, ., ., ., ., #, ., ., ., ., ., #, ., ., o, ., #, #, ., #, ., ., #, ., ., o, o, ., o, ., ., ., o, .
